Duration,Heart_Rate,Calories
29.0,105.0,231.0
14.0,94.0,66.0
5.0,88.0,26.0
13.0,100.0,71.0
10.0,81.0,35.0
23.0,96.0,123.0
22.0,95.0,112.0
25.0,100.0,143.0
21.0,97.0,134.0
16.0,90.0,72.0
1.0,74.0,3.0
17.0,100.0,92.0
11.0,90.0,58.0
18.0,93.0,88.0
2.0,82.0,7.0
28.0,104.0,170.0
4.0,82.0,11.0
11.0,89.0,43.0
4.0,85.0,15.0
14.0,94.0,74.0
8.0,77.0,29.0
8.0,84.0,32.0
3.0,80.0,10.0
29.0,100.0,155.0
1.0,80.0,3.0
10.0,83.0,24.0
7.0,78.0,12.0
3.0,83.0,10.0
29.0,106.0,195.0
2.0,81.0,5.0
16.0,97.0,69.0
24.0,102.0,136.0
18.0,91.0,80.0
22.0,93.0,107.0
29.0,114.0,200.0
10.0,93.0,56.0
10.0,88.0,50.0
21.0,96.0,100.0
25.0,114.0,200.0
1.0,81.0,4.0
13.0,92.0,70.0
20.0,104.0,127.0
25.0,108.0,197.0
20.0,98.0,113.0
3.0,80.0,11.0
16.0,93.0,82.0
8.0,86.0,26.0
24.0,105.0,141.0
20.0,96.0,92.0
2.0,79.0,5.0
10.0,83.0,30.0
3.0,78.0,3.0
9.0,90.0,37.0
25.0,105.0,147.0
2.0,80.0,8.0
21.0,106.0,159.0
15.0,100.0,93.0
23.0,113.0,173.0
19.0,95.0,89.0
7.0,82.0,31.0
9.0,84.0,35.0
16.0,98.0,94.0
9.0,99.0,49.0
13.0,84.0,54.0
20.0,97.0,117.0
27.0,104.0,173.0
20.0,97.0,99.0
10.0,93.0,45.0
22.0,113.0,166.0
28.0,111.0,202.0
20.0,101.0,107.0
29.0,109.0,199.0
5.0,90.0,25.0
8.0,77.0,23.0
24.0,108.0,200.0
2.0,76.0,6.0
2.0,79.0,7.0
20.0,99.0,113.0
29.0,108.0,188.0
20.0,96.0,103.0
17.0,103.0,128.0
23.0,99.0,130.0
7.0,83.0,27.0
27.0,111.0,185.0
11.0,92.0,57.0
13.0,94.0,65.0
16.0,99.0,91.0
19.0,105.0,120.0
12.0,101.0,70.0
9.0,94.0,39.0
22.0,95.0,136.0
14.0,101.0,77.0
9.0,93.0,42.0
7.0,95.0,41.0
14.0,88.0,59.0
24.0,110.0,179.0
2.0,73.0,6.0
5.0,74.0,13.0
23.0,110.0,147.0
26.0,107.0,180.0
14.0,96.0,101.0
23.0,106.0,150.0
25.0,115.0,179.0
6.0,93.0,23.0
3.0,80.0,10.0
9.0,93.0,39.0
30.0,112.0,247.0
19.0,92.0,89.0
25.0,102.0,141.0
4.0,87.0,18.0
15.0,89.0,70.0
29.0,110.0,185.0
11.0,94.0,54.0
29.0,107.0,207.0
27.0,114.0,189.0
2.0,82.0,6.0
12.0,97.0,60.0
6.0,92.0,23.0
27.0,113.0,186.0
28.0,104.0,178.0
25.0,102.0,122.0
24.0,108.0,166.0
20.0,102.0,158.0
2.0,83.0,7.0
18.0,105.0,143.0
12.0,82.0,43.0
17.0,92.0,86.0
23.0,100.0,128.0
29.0,111.0,182.0
10.0,98.0,52.0
27.0,107.0,236.0
19.0,97.0,114.0
11.0,99.0,64.0
26.0,103.0,171.0
6.0,82.0,19.0
21.0,111.0,144.0
9.0,94.0,37.0
26.0,110.0,185.0
13.0,87.0,60.0
22.0,96.0,127.0
23.0,101.0,149.0
16.0,102.0,78.0
5.0,91.0,24.0
23.0,107.0,143.0
27.0,104.0,143.0
15.0,94.0,71.0
11.0,90.0,58.0
15.0,95.0,71.0
5.0,88.0,20.0
17.0,96.0,78.0
19.0,97.0,93.0
6.0,90.0,17.0
3.0,84.0,12.0
23.0,101.0,115.0
19.0,106.0,119.0
26.0,108.0,168.0
12.0,90.0,44.0
29.0,108.0,192.0
17.0,101.0,96.0
23.0,105.0,135.0
12.0,86.0,54.0
30.0,115.0,239.0
14.0,94.0,69.0
14.0,90.0,46.0
21.0,101.0,115.0
4.0,88.0,17.0
25.0,115.0,190.0
12.0,89.0,48.0
27.0,112.0,178.0
6.0,88.0,20.0
15.0,90.0,64.0
19.0,94.0,95.0
25.0,111.0,196.0
2.0,91.0,9.0
18.0,101.0,105.0
12.0,92.0,58.0
24.0,97.0,111.0
17.0,101.0,108.0
6.0,87.0,24.0
13.0,96.0,67.0
13.0,84.0,62.0
28.0,104.0,172.0
7.0,87.0,24.0
19.0,98.0,84.0
20.0,105.0,132.0
25.0,110.0,167.0
17.0,101.0,101.0
23.0,97.0,113.0
17.0,101.0,84.0
6.0,88.0,28.0
22.0,99.0,157.0
14.0,97.0,64.0
21.0,104.0,133.0
23.0,108.0,145.0
24.0,103.0,174.0
7.0,93.0,34.0
29.0,103.0,193.0
24.0,107.0,147.0
18.0,105.0,133.0
26.0,101.0,161.0
6.0,76.0,18.0
12.0,96.0,85.0
15.0,95.0,90.0
23.0,108.0,176.0
11.0,89.0,51.0
7.0,82.0,24.0
6.0,83.0,22.0
25.0,106.0,212.0
29.0,112.0,201.0
17.0,93.0,83.0
14.0,93.0,87.0
27.0,97.0,141.0
23.0,103.0,134.0
2.0,80.0,5.0
29.0,109.0,201.0
3.0,86.0,9.0
8.0,83.0,20.0
29.0,113.0,221.0
17.0,105.0,112.0
20.0,99.0,108.0
29.0,110.0,257.0
27.0,108.0,192.0
17.0,90.0,72.0
28.0,104.0,169.0
18.0,97.0,120.0
28.0,106.0,172.0
10.0,84.0,21.0
18.0,102.0,105.0
25.0,109.0,156.0
3.0,89.0,13.0
24.0,100.0,134.0
21.0,103.0,130.0
2.0,83.0,7.0
25.0,101.0,140.0
7.0,91.0,34.0
9.0,79.0,34.0
8.0,92.0,44.0
11.0,85.0,42.0
2.0,89.0,9.0
18.0,97.0,107.0
9.0,87.0,39.0
26.0,108.0,178.0
13.0,101.0,79.0
15.0,102.0,113.0
22.0,109.0,143.0
4.0,84.0,16.0
24.0,100.0,137.0
17.0,97.0,71.0
13.0,94.0,72.0
14.0,103.0,76.0
27.0,109.0,187.0
18.0,103.0,109.0
29.0,111.0,204.0
6.0,91.0,29.0
17.0,98.0,91.0
4.0,84.0,16.0
7.0,84.0,36.0
13.0,97.0,80.0
22.0,111.0,151.0
27.0,116.0,195.0
8.0,80.0,26.0
22.0,99.0,138.0
3.0,89.0,15.0
19.0,97.0,120.0
30.0,112.0,197.0
21.0,98.0,114.0
20.0,107.0,127.0
23.0,97.0,112.0
21.0,98.0,116.0
8.0,83.0,35.0
16.0,103.0,110.0
22.0,95.0,117.0
17.0,105.0,115.0
21.0,107.0,157.0
12.0,91.0,54.0
25.0,104.0,163.0
19.0,107.0,156.0
10.0,91.0,42.0
7.0,89.0,35.0
7.0,91.0,34.0
19.0,98.0,99.0
20.0,109.0,161.0
8.0,94.0,38.0
18.0,99.0,104.0
27.0,105.0,200.0
28.0,108.0,183.0
19.0,110.0,140.0
19.0,97.0,100.0
22.0,110.0,178.0
27.0,104.0,150.0
15.0,94.0,83.0
6.0,74.0,12.0
8.0,103.0,49.0
25.0,101.0,147.0
8.0,90.0,44.0
29.0,107.0,179.0
23.0,113.0,161.0
9.0,84.0,20.0
21.0,102.0,127.0
30.0,112.0,247.0
23.0,100.0,173.0
1.0,74.0,3.0
6.0,83.0,32.0
22.0,106.0,140.0
8.0,88.0,34.0
8.0,88.0,30.0
13.0,94.0,64.0
27.0,104.0,152.0
15.0,105.0,91.0
4.0,83.0,9.0
5.0,84.0,20.0
25.0,103.0,156.0
26.0,110.0,223.0
16.0,97.0,83.0
11.0,89.0,51.0
10.0,97.0,52.0
25.0,114.0,170.0
2.0,79.0,7.0
25.0,103.0,149.0
27.0,105.0,181.0
27.0,118.0,201.0
7.0,88.0,23.0
23.0,100.0,109.0
8.0,84.0,30.0
15.0,94.0,84.0
19.0,109.0,128.0
23.0,97.0,137.0
28.0,103.0,216.0
12.0,95.0,68.0
18.0,97.0,129.0
11.0,88.0,50.0
5.0,84.0,19.0
